price_open,price_high,price_low,price_close,volume_traded,trades_count,time_close,time_open,time_period_start,time_period_end,market_cap
93.25,100.0,93.03,93.10001,390.82722436,55,2013-03-31T23:36:44.0000000Z,2013-03-31T22:07:48.0000000Z,2013-03-31T22:00:00.000000Z,2013-04-01T00:00:00.0000000Z,
93.17,105.9,92.49999,102.37,4919.6541271900005,627,2013-04-01T23:41:42.0000000Z,2013-04-01T00:05:39.0000000Z,2013-04-01T00:00:00.000000Z,2013-04-02T00:00:00.0000000Z,
102.8,118.38806670000001,99.0,117.98998999999999,9084.83281599,1205,2013-04-02T23:54:35.0000000Z,2013-04-02T00:00:11.0000000Z,2013-04-02T00:00:00.000000Z,2013-04-03T00:00:00.0000000Z,
116.57909668,146.88,101.51088,134.95296889,12909.4021782,2502,2013-04-03T23:59:37.0000000Z,2013-04-03T00:07:29.0000000Z,2013-04-03T00:00:00.000000Z,2013-04-04T00:00:00.0000000Z,
131.77968624,143.0,119.0,132.681,6910.10041356,1456,2013-04-04T23:50:09.0000000Z,2013-04-04T00:02:15.0000000Z,2013-04-04T00:00:00.000000Z,2013-04-05T00:00:00.0000000Z,
132.75,145.0,131.503,140.0,4838.184971660001,1163,2013-04-05T23:59:52.0000000Z,2013-04-05T00:06:48.0000000Z,2013-04-05T00:00:00.000000Z,2013-04-06T00:00:00.0000000Z,
141.0,144.0,140.90200000000002,143.99,2170.7503033400003,376,2013-04-06T23:57:00.0000000Z,2013-04-06T00:02:53.0000000Z,2013-04-06T00:00:00.000000Z,2013-04-07T00:00:00.0000000Z,
144.0,174.4,143.501,174.4,3735.13031718,1078,2013-04-07T23:59:49.0000000Z,2013-04-07T00:27:18.0000000Z,2013-04-07T00:00:00.000000Z,2013-04-08T00:00:00.0000000Z,
172.51,200.0,166.69299999999998,194.5,10616.275073360002,2138,2013-04-08T23:49:28.0000000Z,2013-04-08T00:00:46.0000000Z,2013-04-08T00:00:00.000000Z,2013-04-09T00:00:00.0000000Z,
190.51,249.97,188.898,233.115,6188.918894189999,1413,2013-04-09T23:57:10.0000000Z,2013-04-09T00:06:30.0000000Z,2013-04-09T00:00:00.000000Z,2013-04-10T00:00:00.0000000Z,
233.49,290.0,19.9,170.986,17906.04222004,3296,2013-04-10T23:59:35.0000000Z,2013-04-10T00:07:12.0000000Z,2013-04-10T00:00:00.000000Z,2013-04-11T00:00:00.0000000Z,
169.005,188.0,1.06,120.0,15024.78172263,2159,2013-04-11T23:58:34.0000000Z,2013-04-11T00:01:06.0000000Z,2013-04-11T00:00:00.000000Z,2013-04-12T00:00:00.0000000Z,
111.0,157.0,51.0,114.71,43253.493252969995,4039,2013-04-12T23:59:57.0000000Z,2013-04-12T00:00:18.0000000Z,2013-04-12T00:00:00.000000Z,2013-04-13T00:00:00.0000000Z,
112.97399999999999,123.87799999999999,81.12,97.59899999999999,19843.72797549,2434,2013-04-13T23:51:58.0000000Z,2013-04-13T00:01:10.0000000Z,2013-04-13T00:00:00.000000Z,2013-04-14T00:00:00.0000000Z,
98.771,109.0,20.0,95.0,16732.684958570004,1837,2013-04-14T23:58:29.0000000Z,2013-04-14T00:01:57.0000000Z,2013-04-14T00:00:00.000000Z,2013-04-15T00:00:00.0000000Z,
95.0,104.0,71.497,78.001,16361.23000909,2272,2013-04-15T23:56:44.0000000Z,2013-04-15T00:00:42.0000000Z,2013-04-15T00:00:00.000000Z,2013-04-16T00:00:00.0000000Z,
77.502,82.5,0.01,70.11,26137.58438321,3640,2013-04-16T23:59:55.0000000Z,2013-04-16T00:02:08.0000000Z,2013-04-16T00:00:00.000000Z,2013-04-17T00:00:00.0000000Z,
70.304,98.9,70.095,91.79700000000001,20450.764315400003,2667,2013-04-17T23:59:36.0000000Z,2013-04-17T00:00:09.0000000Z,2013-04-17T00:00:00.000000Z,2013-04-18T00:00:00.0000000Z,
